a,b,profit,start
"[9.0, 13.0, 21.0, 27.0]",2571,-4.333539479,-88.22047063
"[9.0, 13.0, 21.0, 24.0]",1431,-5.610580014,-86.17350105
"[9.0, 13.0, 15.0, 27.0]",2587,-3.919945883,-88.44223425
"[9.0, 13.0, 15.0, 24.0]",1443,-5.052134442,-86.58302841
"[9.0, 13.0, 15.0, 21.0]",2911,-8.753342494,-85.51998282
"[9.0, 11.0, 21.0, 27.0]",2576,-4.312872671,-88.03766693
"[9.0, 11.0, 21.0, 24.0]",1433,-5.603593859,-86.04484997
"[9.0, 11.0, 15.0, 27.0]",2587,-3.919945883,-88.44223425
"[9.0, 11.0, 15.0, 24.0]",1443,-5.052134442,-86.58302841
"[9.0, 11.0, 15.0, 21.0]",2911,-8.753342494,-85.51998282
"[9.0, 11.0, 13.0, 27.0]",2589,-3.924909231,-88.37557744
"[9.0, 11.0, 13.0, 24.0]",1444,-5.05465374,-86.51635734
"[9.0, 11.0, 13.0, 21.0]",2913,-8.75443529,-85.46274631
"[9.0, 11.0, 13.0, 15.0]",2934,-8.285119291,-85.67201431
"[7.0, 17.0, 21.0, 27.0]",1920,-3.086829776,82.34010932
"[7.0, 16.0, 21.0, 27.0]",1785,-3.501490196,84.15685714
"[7.0, 16.0, 17.0, 27.0]",1793,-2.141589515,83.75542666
"[7.0, 16.0, 17.0, 21.0]",1877,-5.478950453,85.72522643
"[7.0, 14.0, 21.0, 27.0]",1890,-3.725497354,83.83207407
"[7.0, 14.0, 17.0, 27.0]",1897,-2.479562467,83.4962098
"[7.0, 14.0, 17.0, 21.0]",1994,-5.91384654,85.46703611
"[7.0, 14.0, 16.0, 27.0]",1777,-2.825830051,84.70752954
"[7.0, 14.0, 16.0, 21.0]",1862,-6.118576799,86.60679377
"[7.0, 14.0, 16.0, 17.0]",1872,-4.769358974,86.34651175
"[7.0, 10.0, 21.0, 27.0]",1913,-3.105697128,82.60583812
"[7.0, 10.0, 17.0, 27.0]",1924,-2.266403326,82.48175156
"[7.0, 10.0, 17.0, 21.0]",2022,-5.730633037,84.51669139
"[7.0, 10.0, 16.0, 27.0]",1791,-2.15469308,83.80481027
"[7.0, 10.0, 16.0, 21.0]",1875,-5.493246269,85.77344883
"[7.0, 10.0, 16.0, 17.0]",1889,-4.551037586,85.68573319
"[7.0, 10.0, 14.0, 27.0]",1895,-2.492125527,83.54274789
"[7.0, 10.0, 14.0, 21.0]",1992,-5.927521325,85.51229804
"[7.0, 10.0, 14.0, 17.0]",2005,-5.076289277,85.47210474
"[7.0, 10.0, 14.0, 16.0]",1870,-4.783313736,86.39519508
"[6.0, 21.0, 24.0, 27.0]",1324,-1.319367946,-84.84616253
