1,2,3,4,5,6,7,8,9,10,11,start,end,code,biao
3,6,10,12,14,16,17,21,25,27,34,0,-23.5,kudii6oy,1
3,7,9,11,13,15,20,21,23,27,35,0,-18,1yc3rs1q,1
3,6,10,12,14,16,17,21,25,27,35,0,-17.93,hf30noug,1
3,6,10,11,14,16,17,21,25,27,34,0,-13.4,jbfzncen,1
3,6,10,12,14,16,17,21,25,27,34,0,-10.43,6e0ikkw9,1
3,6,10,11,14,16,17,21,24,27,30,0,-10.21,fh8ly4jj,1
3,6,10,12,14,16,17,21,24,27,35,0,-9.43,scbb77jn,1
3,6,10,12,14,16,17,21,24,27,31,0,-9.13,tg2aszys,1
3,6,10,12,14,16,17,21,25,27,31,0,-8.67,m3vk4d40,1
3,6,10,12,14,16,17,21,24,27,35,0,-8.6,3c7rd5ya,1
3,7,9,11,13,15,20,21,24,27,34,0,-7.5,z4v1vnsp,1
3,6,10,12,14,16,17,21,24,27,30,0,-7.12,kxq00qk5,1
3,7,9,11,13,15,18,21,24,27,34,0,-7,dxl7j2a8,1
3,6,10,12,14,16,17,21,24,27,30,0,-6.89,hksrzrsd,1
3,7,9,11,13,15,18,21,23,27,35,0,-3,hb9e1b5f,1
3,6,10,12,14,16,17,21,24,27,34,0,-2.65,0g7sv439,1
3,7,9,11,13,15,17,21,24,27,35,0,-1,1v3nqxwb,1
3,6,10,11,14,16,17,21,24,27,31,0,-0.89,njz0vu08,1
3,6,10,12,14,16,17,21,24,27,31,0,1.49,bieu6mpr,1
3,6,10,12,14,16,17,21,24,27,35,0,2.85,pva278uh,1
3,6,10,12,14,16,17,21,24,27,31,0,3.08,5cs0wmvl,1
3,6,10,12,14,16,17,21,24,27,30,0,5.99,mdt16lqz,1
3,6,10,12,14,16,17,21,24,27,35,0,7.91,9iua8wlt,1
3,6,10,12,14,16,17,21,23,27,32,0,9.84,ufku1mka,1
3,6,10,12,14,16,17,21,23,27,34,0,12.84,lmp9ngf4,1
3,6,10,12,14,16,17,21,24,27,31,0,15.23,fxz8rqvu,1
3,6,10,12,14,16,17,21,23,27,35,0,15.79,79qn2mgn,1
3,6,10,12,14,16,17,21,23,27,33,0,18.03,lgomy8eq,1
3,6,9,11,14,16,18,21,23,27,35,0,25,9t4dpmrw,1
3,6,10,12,14,16,17,22,23,27,30,0,98.75,0mrw3gqi,1
4,7,10,12,14,16,17,21,26,27,35,0,-27.59,lxt7o6sm,1
4,7,10,11,13,15,17,21,26,27,31,0,-26.6,gn1bxo37,1
