68araqh7,0,0,0,0,0,-54.5
zzpnlqei,1,1,0,1,1,166.6
v5p7lv20,2,1,0,1,1,324.35
11qpbunz,0,0,0,0,0,-219
yaiqosbx,1,1,0,1,1,66.8
xp91b3qj,1,1,0,1,1,24.1
9t4dpmrw,0,0,0,0,0,-127.98
i6lqx8ts,0,0,0,0,0,-147
sqfmjhqp,0,0,0,0,0,-90.38
5kkr5060,0,0,0,0,0,-107.7
g7uoijja,0,0,0,0,0,-151.6
8g2iaxf0,0,0,0,0,0,4.87
1yemb6kz,1,1,0,1,1,187.48
x6cv314a,0,0,0,0,0,-120.9
26ovv9nz,2,1,0,1,1,42.33
qrj0woux,0,0,0,0,0,-200.9
edydbr11,0,0,0,0,0,-101
i3ugntg2,0,0,0,0,0,-156.5
nil7z8nt,0,0,0,0,0,-108.9
i3wgnab9,0,0,0,0,0,-59.3
7rmwik5s,2,1,1,1,1,119.56
mzj836b0,0,0,0,0,0,-106.8
1gblxsq7,1,1,0,1,1,102.66
t9m6tgki,0,0,0,0,0,-209
4hjk8ew7,0,0,0,0,0,-12.51
luq8s82b,1,1,1,1,1,6.89
96b2y1fq,0,0,0,0,0,-71.47
iuy2mq1n,2,1,0,1,1,159.8
zca7zxyf,0,0,0,0,0,-142.9
jj2wn94h,1,1,0,1,1,78.09
68araqh7,0,0,0,0,0,-47.5
zzpnlqei,1,1,0,1,1,121.28
v5p7lv20,2,1,0,1,1,411.5
11qpbunz,0,0,0,0,0,-202
yaiqosbx,1,1,0,1,1,80.5
xp91b3qj,0,0,0,0,0,-21.3
9t4dpmrw,0,0,0,0,0,-139.78
i6lqx8ts,0,0,0,0,0,-134.1
sqfmjhqp,0,0,0,0,0,-80.38
5kkr5060,0,0,0,0,0,-102.7
g7uoijja,0,0,0,0,0,-127.2
8g2iaxf0,1,1,0,1,1,16.21
1yemb6kz,1,1,0,1,1,165.63
x6cv314a,0,0,0,0,0,-96.5
26ovv9nz,2,1,0,1,1,36.7
qrj0woux,0,0,0,0,0,-250.3
edydbr11,0,0,0,0,0,-110.2
i3ugntg2,0,0,0,0,0,-161.1
nil7z8nt,0,0,0,0,0,-117.3
i3wgnab9,0,0,0,0,0,-88.1
7rmwik5s,1,1,1,1,1,89.82
mzj836b0,0,0,0,0,0,-106.2
1gblxsq7,1,1,0,1,1,105.09
t9m6tgki,0,0,0,0,0,-235.2
4hjk8ew7,1,1,1,1,1,8.03
luq8s82b,1,1,0,1,1,25.53
96b2y1fq,0,0,0,0,0,-117.27
iuy2mq1n,2,1,0,1,1,176.67
zca7zxyf,0,0,0,0,0,-114.9
jj2wn94h,1,1,0,1,1,87.13
68araqh7,0,0,0,0,0,-65.1
zzpnlqei,1,1,0,1,1,138
v5p7lv20,2,1,0,1,1,413.86
11qpbunz,0,0,0,0,0,-147.4
yaiqosbx,1,1,0,1,1,73.2
xp91b3qj,1,1,0,1,1,13.73
9t4dpmrw,0,0,0,0,0,-165.78
i6lqx8ts,0,0,0,0,0,-134.1
sqfmjhqp,0,0,0,0,0,-60.78
5kkr5060,0,0,0,0,0,-111.7
g7uoijja,0,0,0,0,0,-119.6
8g2iaxf0,1,1,0,1,1,-2.03
1yemb6kz,1,1,0,1,1,155.52
x6cv314a,0,0,0,0,0,-81.1
26ovv9nz,2,1,0,1,1,44.03
qrj0woux,0,0,0,0,0,-264.5
edydbr11,0,0,0,0,0,-97.4
i3ugntg2,0,0,0,0,0,-149.7
nil7z8nt,0,0,0,0,0,-180.3
i3wgnab9,0,0,0,0,0,-134.3
7rmwik5s,1,1,1,1,1,101.55
mzj836b0,0,0,0,0,0,-90.2
1gblxsq7,1,1,0,1,1,65.48
t9m6tgki,0,0,0,0,0,-254.6
4hjk8ew7,1,1,0,1,1,37.95
luq8s82b,1,1,0,1,1,43.4
96b2y1fq,0,0,0,0,0,-100.27
iuy2mq1n,2,1,0,1,1,192.35
zca7zxyf,0,0,0,0,0,-127.7
jj2wn94h,1,1,0,1,1,106.42
68araqh7,0,0,0,0,0,-24.9
zzpnlqei,1,1,0,1,1,154
v5p7lv20,2,1,0,1,1,379.16
11qpbunz,0,0,0,0,0,-122.8
yaiqosbx,1,1,0,1,1,80.2
xp91b3qj,1,1,1,1,1,31.58
9t4dpmrw,0,0,0,0,0,-158.98
i6lqx8ts,0,0,0,0,0,-178.9
sqfmjhqp,0,0,0,0,0,-46.98
5kkr5060,0,0,0,0,0,-143.3
g7uoijja,0,0,0,0,0,-110.4
8g2iaxf0,1,1,0,1,1,15.49
1yemb6kz,1,1,0,1,1,160.42
x6cv314a,0,0,0,0,0,-87.1
26ovv9nz,2,1,0,1,1,54.5
qrj0woux,0,0,0,0,0,-272.5
edydbr11,0,0,0,0,0,-110.6
i3ugntg2,0,0,0,0,0,-164.1
nil7z8nt,0,0,0,0,0,-179.3
i3wgnab9,0,0,0,0,0,-133.9
7rmwik5s,0,1,0,1,1,79.15
