code,work,1,11,2,21,3,31,4,41,5,51,6,61,7,71,8,81,9,91,10,risk,biao
519slsew,0,0,-9,0,-9,0,-9,0,-9,0,-9,0,-10,0,-9,0,-10,0,-7,-7,4,1
8tid5gfd,0,1,12,1,7.35,1,7,1,11.2,1,11.9,0,0.92,0,6.615,0,0.92,0,8.92,8.92,3,1
keqepf0m,0,0,-6,0,-6,0,-6,0,-6,0,-6,0,-7,0,-6,1,-7,0,-5,-5,2,1
387fhffi,0,1,6,1,1,0,1,0,1,0,1,0,0.7,0,0.9,0,0.7,0,9.7,9.7,6,1
scbb77jn,0,0,3,1,2.98,1,3,1,3.03,1,2.98,0,2.57,0,2.682,1,2.57,0,-9.43,-9.43,6,1
9t5yap6j,0,1,6,1,1.12,1,1,1,1.2,1,1.22,0,0.8,0,1.008,1,0.8,0,5.8,5.8,6,1
g91ye1x3,0,0,-3,0,-3,0,-3,0,-3,0,-3,1,-4,0,-3,1,-9,0,-15,-15,3,1
fkw475f4,0,1,6,1,0.87,1,1,1,1.2,1,1.17,0,0.57,0,0.783,1,0.57,0,8.57,8.57,6,1
t7uhl32a,0,0,-3,0,-3,0,-3,0,-3,0,-3,3,-4,0,-3,2,-19,0,-45,-45,2,1
1gpsk1od,0,0,-9,0,-9,0,-9,0,-9,0,-9,0,-10,0,-9,0,-10,0,-10,-10,2,1
6l4hmpzv,0,0,-6,0,-6,0,-6,0,-6,0,-6,1,-7,0,-6,3,-12,0,-62,-62,0,1
4c16txm9,0,0,-12,0,-12,0,-12,0,-12,0,-12,0,-13,0,-12,1,-13,0,-3,-3,6,1
4de7ayta,0,0,-3,0,-3,0,-3,0,-3,0,-3,1,-3,0,-3,1,-8,0,-3,-3,4,1
o7pqerl1,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,0,-9,1,-15,0,-10,-10,3,1
7voc4ywi,0,1,12,1,6.64,1,7,1,8.4,1,8.84,0,2.08,0,5.976,1,2.08,0,12.58,12.58,2,1
4qo41x6y,0,0,-6,0,-6,0,-6,0,-6,0,-6,1,-7,0,-6,0,-12,0,-5,-5,4,1
g004gng8,0,0,-3,0,-3,0,-3,0,-3,0,-3,2,-4,0,-3,2,-14,0,-36,-36,6,1
mdt16lqz,0,0,3,1,3.1,1,3,1,4.8,1,5.1,0,0.99,0,2.79,1,0.99,0,5.99,5.99,1,1
przvq4kq,0,0,-3,0,-3,0,-3,0,-3,0,-3,2,-4,0,-3,2,-14,0,-24,-24,4,1
c1h7bw1a,0,1,6,1,1.72,1,1,1,1.6,1,1.72,0,-0.05,0,1.548,2,-0.05,0,-18.05,-18.05,2,1
51cbn7o1,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,1,-3,0,2,2,4,1
h3fu78yg,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,-6,-6,3,1
gn1bxo37,0,1,6,1,1,0,1,0,1,0,1,0,0.4,0,0.9,3,0.4,0,-26.6,-26.6,2,1
qdpt3asx,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,0,-9,1,-15,0,-15.5,-15.5,6,1
lrqw3xla,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,0,-3,3,-4,0,-44.5,-44.5,6,1
4alcifnr,0,0,-6,0,-6,0,-6,0,-6,0,-6,0,-7,0,-6,0,-7,0,5,5,3,1
itjzqni7,0,0,-3,0,-3,0,-3,0,-3,0,-3,1,-4,0,-3,1,-9,0,-9.5,-9.5,6,1
zm1faos5,0,0,-3,0,-3,0,-3,0,-3,0,-3,1,-4,0,-3,1,-9,0,-8,-8,6,1
u1m4seev,0,1,15,1,14.15,0,10,1,10,1,10.15,0,10.74,0,12.735,0,10.74,0,22.74,22.74,6,1
48l4ehb6,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,0,-3,1,-4,0,6,6,6,1
dqtauj4v,0,1,9,1,6.65,1,4,1,6.4,1,6.65,0,1.59,0,5.985,2,1.59,0,0.59,0.59,6,1
8uqq7nj7,0,1,6,1,0.55,0,1,1,1,1,1.1,0,0.5,0,0.495,3,0.5,0,-26,-26,6,1
l50to787,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,-8,-8,6,1
1pxzy631,0,0,-9,0,-9,0,-9,0,-9,0,-9,0,-10,0,-9,2,-10,0,-28,-28,4,1
fxz8rqvu,0,0,3,1,6.96,1,3,1,3.03,1,3.48,0,5.23,0,6.264,1,5.23,0,15.23,15.23,2,1
drsd3gfr,0,0,-6,0,-6,0,-6,0,-6,0,-6,3,-7,0,-6,1,-22,0,-28,-28,4,1
0nu0s221,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,0,-9,1,-15,0,-18,-18,2,1
njz0vu08,0,0,3,1,2.9,0,3,1,3,1,2.9,0,2.11,0,2.61,1,2.11,0,-0.89,-0.89,2,1
x6n7t8hs,0,0,-3,0,-3,0,-3,0,-3,0,-3,3,-4,0,-3,1,-19,0,-30.5,-30.5,1,1
xxrcf92l,0,1,12,1,0.7,1,7,1,11.2,1,10.7,0,-3.57,0,0.63,1,-3.57,0,-2.57,-2.57,5,1
kibuds7n,0,0,-6,0,-6,0,-6,0,-6,0,-6,0,-6,0,-6,1,-6,0,-17,-17,1,1
uabw3inx,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,14,14,2,1
0cpchq58,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-9,0,-9,1,-14,0,-25,-25,6,1
ssewy7zs,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-4,0,-3,1,-4,0,1,1,6,1
kd4ugm89,0,0,-3,0,-3,0,-3,0,-3,0,-3,1,-4,0,-3,3,-9,0,-44,-44,6,1
dxl7j2a8,0,1,3,0,-2,0,-2,0,-2,0,-2,1,-3,0,-2,1,-8,0,-7,-7,5,1
kudii6oy,0,0,3,1,5.37,1,3,1,4.8,1,5.07,0,3,0,4.833,2,3,0,-23.5,-23.5,5,1
j1e40ha7,0,0,-9,0,-9,0,-9,0,-9,0,-9,1,-10,0,-9,2,-15,0,-32.5,-32.5,6,1
6xnpwopr,0,0,-15,0,-15,0,-15,0,-15,0,-15,1,-15,0,-15,0,-20,0,-17,-17,6,1
0jkf3488,0,0,-6,0,-6,0,-6,0,-6,0,-6,0,-6,0,-6,1,-6,0,-4,-4,2,1
